time	TriggeredState-name	TriggeredState-state	[00].VehicleUpdate-pos.001	[00].VehicleUpdate-pos.002	[00].VehicleUpdate-pos.003	[00].VehicleUpdate-pos.004	[00].VehicleUpdate-pos.005	[00].VehicleUpdate-pos.006	[00].VehicleUpdate-COGPos.001	[00].VehicleUpdate-COGPos.002	[00].VehicleUpdate-COGPos.003	[00].VehicleUpdate-speed.001	[00].VehicleUpdate-speed.002	[00].VehicleUpdate-speed.003	[00].VehicleUpdate-speed.004	[00].VehicleUpdate-speed.005	[00].VehicleUpdate-speed.006	[00].VehicleUpdate-accel.001	[00].VehicleUpdate-accel.002	[00].VehicleUpdate-accel.003	[00].VehicleUpdate-accel.004	[00].VehicleUpdate-accel.005	[00].VehicleUpdate-accel.006	[00].VehicleUpdate-accelerator	[00].VehicleUpdate-brake	Last_TimeMarker
10.45	car5_start	0	-1724.87028826	7384.15032421	-0.0261494791178	-1.57079538096	-0.00611823754911	-9.08230607482e-07	-1724.87028639	7382.67327342	0.509045514826	14.3469009399	-8.01308488008e-06	-0.0881260707974	-9.43787927099e-06	0.00194594613276	-1.76770276994e-06	0.616136431694	-0.0001442770008	-0.00368184968829	-1.97273893718e-05	0.000147071579704	2.29863180721e-05	0.362306177616	0	
10.5	car5_start	0	-1724.87028743	7383.34596832	-0.0260092669059	-1.57079592669	-0.00601024190488	-9.8552357725e-07	-1724.87028632	7381.86885974	0.509026208866	14.3807239532	-8.6083291535e-06	-0.0867754071951	-1.00149900391e-05	0.00194427394308	-1.18961509088e-06	0.592929542065	-0.00015580082254	-0.00352301099338	-4.96837992614e-06	-0.000414174603065	-5.49616970602e-06	0.351262360811	0	
10.55	car5_start	0	-1724.87028705	7382.65504158	-0.0258891339732	-1.57079641424	-0.00591779802665	-1.02585633549e-06	-1724.87028664	7381.17788355	0.509009789867	14.4086380005	-8.88316753844e-06	-0.0856097713113	-1.02552285171e-05	0.00192912272178	-6.49461867397e-07	0.572790563107	-0.000151492480654	-0.00336653320119	9.02842828054e-07	-0.000913866912015	1.86000164604e-07	0.341556191444	0	
10.6	car5_start	0	-1724.870287	7381.96279641	-0.0257714030748	-1.57079690857	-0.00582706077494	-1.04297401077e-06	-1724.87028731	7380.48558984	0.508993485303	14.4356689453	-8.96095752978e-06	-0.0844553411007	-1.02906706161e-05	0.00187300366815	-2.30746991292e-07	0.554516434669	-0.000152151900693	-0.00307202828117	5.5708360378e-06	-0.00130334729329	5.34886908099e-07	0.332745730877	0	
10.65	car5_start	0	-1724.87028736	7381.15356558	-0.0256386927127	-1.57079748121	-0.00572468899886	-1.03986590884e-06	-1724.87028852	7379.67630428	0.508974968604	14.4661035538	-8.84699602466e-06	-0.083138525486	-1.01116866063e-05	0.00181296491064	2.2518325693e-07	0.53458994627	-0.000149640982272	-0.00280171167105	1.79507765097e-06	-0.00151204096619	-3.2352886592e-06	0.323240906	0	
10.7	car5_start	0	-1724.87028804	7380.45860748	-0.0255270904555	-1.57079795871	-0.005638829417	-1.01670206474e-06	-1724.87028991	7378.98130028	0.508959731853	14.4912033081	-8.58604562382e-06	-0.0820261985064	-9.75156217464e-06	0.00179046171252	5.9167496147e-07	0.515228271484	-0.000141463431646	-0.00271272612736	1.15839839054e-05	-0.000971819274127	-6.23487437679e-07	0.313897460699	0	
10.75	car5_start	0	-1724.87028905	7379.76246592	-0.0254166082452	-1.57079841628	-0.00555405138276	-9.7783229773e-07	-1724.87029162	7378.28511341	0.508944968943	14.5154180527	-8.18435546535e-06	-0.0809241011739	-9.27653672989e-06	0.00176802428905	9.40825884754e-07	0.496232390404	-0.000124883867102	-0.00263645453379	5.16331192557e-06	-0.000729479186703	5.23209428138e-06	0.304730057716	0	
10.8	car5_start	0	-1724.87029038	7379.06518292	-0.0253076397955	-1.57079884827	-0.0054705107683	-9.2629877986e-07	-1724.87029362	7377.58778578	0.508930516592	14.538766861	-7.68382233218e-06	-0.079833753407	-8.67820472195e-06	0.00173965410795	1.18014281725e-06	0.477674782276	-0.000114002876217	-0.00252042012289	1.06284314825e-05	-0.000521583773661	1.60641866387e-05	0.29577600956	0	
10.85	car5_start	0	-1724.87029232	7378.25029844	-0.02518276419	-1.57079931349	-0.00537478731419	-8.53555318008e-07	-1724.87029629	7376.77285017	0.508913968193	14.5649442673	-7.04168951415e-06	-0.0785766541958	-7.90536250861e-06	0.00169922609348	1.39449832659e-06	0.459282368422	-0.000108480140625	-0.00235851877369	7.47115973354e-06	-0.00147620576899	7.83069026511e-06	0.287045180798	0	
10.9	car5_start	0	-1724.87029432	7377.54338853	-0.0250771587872	-1.57079967846	-0.00529381698169	-7.80353834436e-07	-1724.87029886	7376.06589702	0.508899942367	14.5867128372	-6.39546396997e-06	-0.0775059014559	-7.13798408469e-06	0.00166177703068	1.46510876675e-06	0.441804528236	-9.52575792326e-05	-0.00219957530499	1.29197705974e-05	-0.0012588762911	-4.66299843538e-06	0.27863368392	0	
10.95	car5_start	0	-1724.87029653	7376.8500495	-0.0249759320476	-1.57079999919	-0.005216237105	-7.04485578612e-07	-1724.87030159	7375.37251657	0.508886543891	14.6072301865	-5.71174950892e-06	-0.0764738842845	-6.32804130873e-06	0.00163149437867	1.65483561432e-06	0.424249798059	-8.26546311146e-05	-0.00207395129837	1.39788053275e-05	-0.00067916320404	-2.54415590462e-06	0.270161241293	0	
11	car5_start	0	-1724.87029901	7376.14844138	-0.0248751862783	-1.57080028437	-0.00513911971326	-6.22373593523e-07	-1724.87030453	7374.67086728	0.508873344587	14.6271619797	-5.00024452776e-06	-0.0754432082176	-5.50075856154e-06	0.00160621176474	1.77316405825e-06	0.407237112522	-6.96805363987e-05	-0.00198064325377	1.48473809531e-05	-0.000478536909213	-1.13485584734e-05	0.261973023415	0	
11.05	car5_start	0	-1724.8703017	7375.44589482	-0.0247763022882	-1.57080052997	-0.00506346103749	-5.39648204708e-07	-1724.87030763	7373.96828034	0.50886043575	14.6463394165	-4.28717521572e-06	-0.0744277089834	-4.67711743113e-06	0.00156606431119	1.75036552719e-06	0.391588687897	-5.79696788918e-05	-0.00185284472536	1.20355289255e-05	-0.000647066219244	-9.21859282244e-06	0.254445105791	0	
11.1	car5_start	0	-1724.87030513	7374.61051011	-0.0246357704904	-1.57080077037	-0.00495783226037	-4.43301595496e-07	-1724.87031147	7373.13283927	0.50884488596	14.6636610031	-3.45445005223e-06	-0.0730186849833	-3.7214135773e-06	0.00329204741865	1.60294280249e-06	0.0910702720284	-4.43217104475e-05	-0.00497977621853	1.30817288664e-05	0.107750795782	-1.50377454702e-05	0.0640212520957	0	
11.15	car5_start	0	-1724.87030819	7373.90692844	-0.0241918542549	-1.57080093061	-0.00463845041963	-3.61321189446e-07	-1724.87031481	7372.42908729	0.508816833763	14.6580190659	-2.77487833955e-06	-0.0689505040646	-2.92704316962e-06	0.00920744426548	1.82055475761e-06	-0.146637961268	-3.39409234584e-05	-0.0182308834046	1.32850500449e-05	0.0548560023308	-1.87173770883e-06	0	0	
11.2	car5_start	0	-1724.87031137	7373.20374869	-0.0235917587919	-1.57080105425	-0.00418724761322	-2.73324064475e-07	-1724.87031821	7371.7256672	0.50875006892	14.6510057449	-2.17941260416e-06	-0.0630915760994	-2.19323896999e-06	0.00880135502666	1.77039873961e-06	-0.146127745509	-2.39011696976e-05	-0.0110947014764	1.30423677547e-05	-0.0461552515626	-8.93984724826e-06	0	0	
